NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
1;San Francisco;22.04.1884;Gemi;22 Nisan 1884 sabahı saat sekizde. San Francisco ile Oakland arasında sefer yapan bir geminin güvertesindeyim. Golden State’in puslu tepeleri gökyüzüne doğru yükselirken. San Francisco körfezinin mavi sularına yansıyan bu manzara beni büyülüyor. Şehir. Mount Diablo ve Mount Tamalpais’in eteklerinde. alçak kıyı kesiminde yer alıyor. Körfez. bembeyaz yelkenlilerle dolu ve farklı ülkelerden gemilerin girip çıktığı geniş bir su yolu gibi. Bu büyüleyici görüntüler eşliğinde. dört millik bir yolculuğun ardından Oakland limanına iniyorum.;37.77492872758367,-122.41941249490743;-;;;;;;;;;;;;;;;;
2;Oakland Limanı;22.04.1884;Gemi;Oakland Limanı’na vardığımda. sabahın o sisli manzarası hâlâ körfezin üzerinden çekilmemişti. Limanın çevresinde. San Francisco’nun aksine büyük bir doğallık ve sadelik vardı. Şehir. körfezin kıyısına dizilmiş evleri ve genişleyen yollarıyla karşılıyor beni. Küçük bir yelkenlinin suya inişini izliyor. körfezin üstündeki sessizliği içime çekiyorum. Suların üzerinde yavaşça süzülen tekneler. sabahın durgun havasında zarif bir tablo gibi görünüyor. Gözüm. parıldayan güneş ışığının çarptığı su yüzeyinde yarışan beyaz yelkenlilere takılıyor. Bu sessizlik ve huzur. yolculuğumun ilk saatlerine eşlik ediyor;37.795664441176214,-122.27917534712208;-;;;;;;;;;;;;;;;;
3;San Pablo;22.04.1884;Bisiklet;Yolun ilk yedi mili şose ve bu kısmı süratle geçiyorum. Ancak ikinci yarısı. geçen kış 1857’den beri en yağmurlu kış olduğu için kıvrımlarla bozulmuş. çukurlarla dolu ve hoş karşılanmayan iri kayalarla kaplı. 22 Nisan sabahı yaptığım üç millik şose yolunda bisikletle ilerlemeye başlıyorum. Hafifçe yükselen dalgalarla manzaraya bakarken. manzaranın çekiciliği içinde. çevreyi gözden geçirmek için fazlasıyla vakit ayırıyorum. Küçük bir yelkenliye binme hissi. hayatın en güzel yönlerinden biriymiş gibi geliyor. Saat 10’da San Pablo’ya ulaşıyorum.;37.962143004697765,-122.34553040576719;-;;;;;;;;;;;;;;;;
4;Suisun Körfezi;22.04.1884;Yaya;San Pablo’dan ayrıldıktan sonra. daha ilerideki yolları izleyerek Orta Pasifik Demiryolu’na bağlı olan elli mil uzaktaki Suisun noktasına gece ulaşmayı umuyordum. Ancak San Pablo’dan sonraki yolları iyi düşünmeden ilerledim. Gün boyunca bataklıklar ve suya doymuş topraklar arasında pedal çevirdim. Sıcaklık yüksekti ve tüm gün boyunca susuz kaldım. Suisun Körfezi’nin sınırındaki “tuile” bataklıklarının içinden. yorgun argın yürüyerek geçmek zorunda kaldım. Ayaklarımın altında uzayıp giden bataklık zemini. bisiklet sürmeyi imkânsız hâle getiriyordu. Yavaş ilerledim. adım adım bataklıkların içinden geçtim ve gece sonunda kendimi neredeyse tükenmiş bir hâlde buldum.;38.041335376147195,-121.84798488437814;-;;;;;;;;;;;;;;;;
5;Elmira;23.04.1884;Bisiklet;Ertesi sabah yağmur çiselerken yola çıkıyorum. Yaklaşık 16 mil ilerledikten sonra yağmurun hızlanmasıyla birlikte. o günü Elmira’da geçirmek zorunda kalıyorum. Burada geçirdiğim süre boyunca çevremdeki doğayı izliyorum. Geniş tarlalar. yol boyunca sıralanmış meyve ağaçları. üzüm bağları ve çiçek açmış şeftali. armut ve badem ağaçları gözümün önünde bir bahar manzarası oluşturuyor. Bu pembe ve beyaz tomurcuklarla dolu görüntü. içimi hafif bir bahar neşesiyle dolduruyor.;38.34824528018416,-121.90996886586034;-;;;;;;;;;;;;;;;;
6;Davisville;23.04.1884;Bisiklet;"Yolculuğumun bu ilk kısmı epeyce yorucuydu. Bu yüzden Davisville köyünde akşam yemeği için duruyorum. Ayaklarım. zorlu yollara uyum sağlayacak şekilde ayarlanmalıydı; bu yüzden zayıf düşmüş bisiklet ayakkabılarımı gerekli talimatlarla birlikte eski usullerle çalışan. yaşlı bir İrlandalı tamirciye bırakıyorum. Burada kısa bir mola vererek hem bedenimi hem de ekipmanımı toparlıyorum.";38.54283960321107,-121.74273608470035;-;;;;;;;;;;;;;;;;
7;Sacramento;24.04.1884;Bisiklet;"Sacramento’ya varıyorum. Burası Kaliforniya’nın başkenti ve şehir. geniş ve güzel sokaklarıyla. sakin atmosferiyle kendini hemen belli ediyor. Nehrin kenarında kurulmuş olan Sacramento. tarım arazileriyle çevrili bir yerleşim. Şehirde gezinirken. her şey düzenli ve sade bir görünüm taşıyor. Şehrin içinden geçerken. Sacramento Nehri’nin doğusuna doğru ilerliyorum. Nehri doğrudan geçmek mümkün değil; bu yüzden üç buçuk mil doğusundaki Amerikan Nehri’nin büyük akıntısının üzerinden geçen yüksek bir demir köprüyü kullanmam gerekiyor. Bu köprü oldukça etkileyici. Üzerine çıktığımda. köprüden aşağıya ve çevreye hâkim bir noktadayım. Gözümün önünde muazzam bir manzara uzanıyor: Düzensiz ormanlık tepeler doğuya doğru kıvrılarak ilerliyor. Bu ormanlar. zamanla yerini vadilere bırakıyor. Vadiler gittikçe daha engebeli. kayalık ve uçsuz bucaksız bir hâl alıyor. Vadiler. sonra dağlara. ardından ise derin kanyonlara dönüşüyor. Uzakta. hayalet gibi gökyüzüne doğru süzülen karanlık sırtlar beliriyor. En sonunda ise. mavi gökyüzüne uzanan çıplak. beyaz doruklar seçiliyor. Bu manzara karşısında. artık Sierra Nevada Dağları’nın eşiğinde olduğumu hissediyorum. Gerçek anlamda dağlık bölgelere adım attığım bu noktada. önümde uzanan yolun zorlu ama görkemli olacağını biliyorum.";38.5781349645636,-121.49441700666709;-;;;;;;;;;;;;;;;;
8;Newcastle;25.04.1884;Bisiklet;Sacramento’dan ayrıldıktan sonra. bisikletimi yönlendirmek giderek zorlaşıyor. Yol. dar patikalardan. çakıllı geçitlerden ve ufalanmış kayalardan oluşuyor. Kaliforniya’nın iç kesimlerine ilerledikçe. manzara çoraklaşıyor. Zaman zaman yanlış yollara sapıyor. ardından doğru yönü bulmak için dönmek zorunda kalıyorum. Newcastle’a yaklaşırken geçmişin altına hücum yıllarına dair izler beliriyor. Yol kenarlarında. madencilerin açtığı eski kuyular. kanallar ve taş yığınlarıyla dolu araziler göze çarpıyor. Bir zamanlar altın arayan kalabalıkların dolaştığı bu topraklarda artık sessizlik hüküm sürüyor. Newcastle’ın çevresinde hâlâ eski maden alanlarına ait izler var. Buradaki küçük vadilerde. “keşif” ateşiyle yanıp tutuşan madencilerin açtığı kuyular dikkat çekiyor. İçlerinden biri olan Gold Hill ve Ophir gibi yerleşimlerin yakınında. bir zamanlar altın bulan insanların öyküleri anlatılıyor. Newcastle’dan ayrıldıktan sonra. bu altın çağın ruhunu biraz olsun hissetmeye devam ediyorum. Bu atmosferde. yolların yalnızlığında ilerlerken zaman zaman geçmişin yankıları kulağımda çınlıyor gibi geliyor.;38.87368471968644,-121.13388498312663;-;;;;;;;;;;;;;;;;
9;Clipper Gap;27.04.1884;Bisiklet;"Clipper Gap’e vardığımda yerleşimin küçük ve dağınık olduğunu görüyorum. Burada kısa bir mola veriyorum. Günün bu saatinde hava oldukça soğuk ve kasvetli. Ayaklarım ıslanmış. rüzgâr içimi titretiyor. Kasabanın çevresi karla kaplı; yollar çamurlu. Tren yolunun hemen yanında konumlanan bu küçük noktada. yalnızca birkaç ev ve birkaç insanla karşılaşıyorum. Burada fazla oyalanmadan. ayakkabılarımı kurutmaya bile fırsat bulamadan tekrar yola çıkıyorum. Yolun geri kalanı zorlu olacak gibi görünüyor. ama önümde uzanan dağ manzarası yine de içimde bir merak uyandırıyor.";38.969348922942046,-121.01744303436163;-;;;;;;;;;;;;;;;;
10;Cape Horn;28.04.1884;Bisiklet;Cape Horn’a yaklaştıkça yolun zorluğu artıyor. Demiryolu hattına paralel ilerliyor. ama yükseklik ve sert eğimler nedeniyle bisiklet sürmek giderek imkânsız hâle geliyor. Bu noktada artık bisikletimi elime alıp yürümek zorunda kalıyorum. Cape Horn. 10 mil uzunluğundaki zorlu bir tırmanıştan sonra ulaşılan tehlikeli bir virajın üst kısmında yer alıyor. Tepenin etrafından dolaşmak bile cesaret isteyen bir iş. Ayakta durduğum yerin kenarından aşağıya doğru bakarken. yaklaşık 750 metre kadar derinliğe sahip bir uçurum görüyorum. Sadece rayların kıvrıldığı bu noktaya değil. aynı zamanda aşağıda vadinin içlerine doğru uzanan muazzam doğa manzarasına da tanık oluyorum. Cape Horn’un çevresinde kurulu yabanî doğa. hem hayranlık hem de tedirginlik verici bir izlenim bırakıyor. Bu yükseklikten sonra. yokuş aşağı ilerlemek mümkün oluyor. Yine de yolun dar ve virajlı olması beni dikkatli olmaya zorluyor. Eğimli patikalardan bisikletimi kontrollü şekilde indiriyorum. Dağların eteğinden geçerken. ormanlık alanlar ve derin uçurumlar arasında kalan patikalarda yol alıyorum. Bu noktada artık Sierra Nevada’nın kalbine girdiğimi hissediyorum.;45.57262473776855,-122.19509187549285;-;;;;;;;;;;;;;;;;
